Sat.EarthMJ2000Eq.X,Sat.EarthMJ2000Eq.Y,Sat.EarthMJ2000Eq.Z,Sat.ElapsedSecs
-137380.1984338506,75679.87867537055,21487.63875187856,0
-137394.1207686875,75653.08847237147,21492.77159373787,59.99999988125637
-137435.2333305495,75573.25015971862,21507.99128031708,238.4459245833568
-137561.1560215477,75321.6231182097,21555.21639323262,797.3623379599303
-137942.4735189708,74482.97687508508,21704.80770386236,2623.660447576549
-138909.7851663406,71359.40832081747,22169.83344136233,9002.506097580772
-139183.7778778375,64905.6852039493,22779.80550008262,20641.66611795081
-137559.797933083,57846.28551106063,23055.64552047697,31787.67809432466
-134344.5455240319,50667.17092531855,23017.95925954846,41972.70621716743
-130387.3949451306,44304.84913150442,22759.10220581034,50282.26811829954
-125756.3366837218,38264.92756942486,22335.3427310434,57678.16439992748
-120661.1237425651,32591.55517589611,21785.55542357992,64262.71461588331
-115254.5264710491,27297.25578669096,21139.74476902149,70137.29194990592
-109655.6750809646,22385.31185509216,20421.87015542867,75385.44946135953
-103959.0578508186,17852.77648316116,19651.41631102087,80077.38685623044
-98239.95678129117,13691.93669726934,18844.3722124433,84273.46466761082
-92558.202474345,9891.427876663003,18013.89824801693,88026.47150696721
-86961.0016216798,6437.184341248423,17170.81900862972,91383.08382349787
-81484.98367330222,3313.141817929665,16323.97870170624,94384.95248670224
-76158.11743081469,501.9945024385578,15480.56563624122,97069.32664074702
-71001.05296296027,-2014.326212793529,14646.34379074849,99469.6620282135
-66028.5268621704,-4254.114979971826,13825.89246213554,101615.9648268716
-61250.23987123907,-6235.616275304963,13022.76096348598,103535.2262297762
-56671.86965138781,-7976.682134162116,12239.64527607452,105251.6702213441
-52295.74236987995,-9494.589444515545,11478.50899199254,106787.0556882815
-48121.45138875226,-10805.87655124865,10740.69519683446,108160.9188037924
-44146.42527571055,-11926.20797349131,10027.03048909712,109390.776971227
-39933.79934859132,-12970.51475788847,9258.37424276343,110614.2759377137
-36369.54117368194,-13732.83407905238,8597.563115671221,111587.7645828528
-32602.93701456043,-14409.62575986564,7888.126691583169,112557.2695764829
-29411.9337610479,-14871.95642196137,7277.526213877949,113332.485614391
-26052.52553698467,-15239.46994168632,6624.417421705555,114104.2860200512
-23299.75050627031,-15441.5323432226,6080.697608789588,114703.7718513398
-20315.36617780815,-15549.85441149935,5481.677575497378,115321.1371753947
-17456.72130466295,-15534.0029864941,4897.57678712705,115881.6848874441
-15016.92741443804,-15416.96793558962,4390.128844870645,116337.0627367403
-12823.24449061149,-15220.4355014084,3925.991431654275,116729.0679719299
-10835.09763341322,-14958.51796793864,3498.110689933831,117070.6831292133
-9002.659988896452,-14637.72944253242,3096.891286603228,117374.6181454975
-7116.929492793552,-14217.43380155519,2676.221910193778,117677.1606750553
-5353.48282061754,-13729.50931403455,2274.644176138837,117951.5220046858
-3711.940557222284,-13179.62528609386,1892.570037083216,118200.4224852542
-2177.427595372328,-12567.77681243158,1526.967176453334,118428.4981900477
-935.8501333616503,-11991.40059757519,1224.14034223613,118610.726549034
304.0113033772442,-11329.93195572976,914.3226445977201,118791.7204869096
985.9818034792503,-10923.63437254904,740.2484184411396,118891.3502868614
1194.303702442553,-10792.81854929641,686.4956931028655,118921.8551810598
1395.554615050003,-10663.27783500355,634.2945181012476,118951.3725677272
1896.206966225341,-10326.78131983818,503.2057666856682,119025.07383388
2899.409872456151,-9584.383427774128,234.6571092798054,119174.5560829528
3784.582512082271,-8840.148961041743,-9.983434529895913,119309.723767871
4603.746350541856,-8059.170981420126,-244.3296172330407,119439.2508549266
5374.439642897259,-7222.519057526133,-473.5863301582554,119567.0842238003
6107.299632252848,-6308.443700234618,-701.7931897843163,119696.7534334632
6794.471499448458,-5310.415355388177,-927.9061263321286,119829.2977680336
7386.417828481252,-4297.565059557759,-1135.863153710186,119956.6854898701
7482.854363548976,-4114.938301280416,-1171.258315343635,119979.0561217116
7740.540896058903,-3614.401176366622,-1264.086142582679,120039.0561215929
8170.781284893927,-2669.909384815151,-1427.952273790139,120149.8438061681
8559.690463864395,-1651.077733252001,-1589.547301482825,120266.8534398079
8646.232076469891,-1394.477044767772,-1627.944724721795,120296.0508972988
8721.101389283675,-1161.241277337975,-1662.080754015712,120322.5233494537
8928.764921147585,-446.8724821563173,-1762.266400502497,120403.3333362895
9190.780890556232,664.5771002590396,-1905.816719720223,120528.8122774917
9403.398019225364,1910.601179753366,-2050.379612421139,120670.1832653023
9530.876680824967,3068.458115224136,-2170.570557626564,120803.1805966864
9595.221316342198,4187.730205487925,-2274.875310109855,120933.9801685419
9605.940647130044,5311.423681337466,-2368.72194062709,121068.1039705058
9564.858268241265,6462.77545588185,-2454.375049429734,121208.9775758679
9470.205371944094,7658.251539312685,-2532.822121825701,121359.4446054194
9317.736006633857,8912.395425780091,-2604.394171485525,121522.3814775003
9101.247811514095,10238.06740797596,-2668.89036433814,121700.7711301907
8813.891599507728,11642.5486470047,-2725.5243269858,121897.1843319596
8450.856342314084,13121.90206837522,-2773.005565566708,122112.845353852
8010.341525466616,14665.21836879645,-2810.081897884579,122347.9524062946
7490.188098603363,16268.22119549341,-2835.969937491293,122603.6121195881
6884.894701718373,17937.50606087197,-2850.099225285781,122882.7662453405
6101.248697455103,19886.27761960108,-2851.068841759997,123225.9690005681
5276.492625984773,21755.3824162542,-2837.252921324101,123573.2521689381
4271.979617179155,23850.83630445268,-2805.661236062612,123984.3340476626
3145.860798615481,26024.95269241858,-2755.971400154883,124435.8248021454
1898.471552599977,28270.3297615066,-2687.647635605038,124929.5152755571
523.1548665723916,30592.93111219325,-2599.834534879993,125470.1877732296
-988.5340075309421,33000.23224170021,-2491.439476660079,126063.5022561648
-2646.105573842194,35499.81177754813,-2361.163249868526,126715.785761748
-4459.94200055936,38099.08815944439,-2207.51766848429,127434.0396840591
-6441.211376166993,40805.25680529606,-2028.837677476275,128225.991089351
-8601.886778143251,43625.36192530314,-1823.283289265628,129100.1882647164
